rank,company_name,symbol,ipo_type,listing_date,ipo_price,listing_price,current_price,listing_gain_pct,current_gain_pct,gain_from_ipo_rs,issue_size,ipo_market_cap,status_badge,screener_url,source_url,status_class,_cache_fetched_at
1,Na Nanta Tech Listed: 31 Dec 2025,,SME,₹244.00,220.0,244.0,489.8,10.91,122.64,269.8,₹220.00,,Strong Gainer,https://www.screener.in/search/?q=Na+Nanta+Tech+Listed%3A+31+Dec+2025,https://www.ipoguru.in/sme-ipo-performance,strong,2026-07-24T23:42:24
2,Ad Admach Systems Listed: 31 Dec 2025,,SME,₹250.00,239.0,250.0,386.65,4.6,61.78,147.65,₹239.00,,Good Gainer,https://www.screener.in/search/?q=Ad+Admach+Systems+Listed%3A+31+Dec+2025,https://www.ipoguru.in/sme-ipo-performance,good,2026-07-24T23:42:24
3,Dh Dhara Rail Projects Listed: 31 Dec 2025,,SME,₹138.00,126.0,138.0,130.0,9.52,3.17,4.0,₹126.00,,Flat / Low Return,https://www.screener.in/search/?q=Dh+Dhara+Rail+Projects+Listed%3A+31+Dec+2025,https://www.ipoguru.in/sme-ipo-performance,flat,2026-07-24T23:42:24
4,Ba Bai Kakaji Polymers Listed: 31 Dec 2025,,SME,₹189.00,186.0,189.0,189.05,1.61,1.64,3.05,₹186.00,,Flat / Low Return,https://www.screener.in/search/?q=Ba+Bai+Kakaji+Polymers+Listed%3A+31+Dec+2025,https://www.ipoguru.in/sme-ipo-performance,flat,2026-07-24T23:42:24
5,Ap Apollo Techno Industries Listed: 31 Dec 2025,,SME,₹137.00,130.0,137.0,83.7,5.38,-35.62,-46.3,₹130.00,,Below IPO Price,https://www.screener.in/search/?q=Ap+Apollo+Techno+Industries+Listed%3A+31+Dec+2025,https://www.ipoguru.in/sme-ipo-performance,bad,2026-07-24T23:42:24
