rank,company_name,symbol,ipo_type,listing_date,ipo_price,listing_price,current_price,listing_gain_pct,current_gain_pct,gain_from_ipo_rs,issue_size,ipo_market_cap,status_badge,screener_url,source_url,status_class,_cache_fetched_at
1,Rubicon Research Listed: 16 Oct 2025,,Mainboard,₹620.00,485.0,620.0,1519.1,27.84,213.22,1034.1,₹485.00,,Strong Gainer,https://www.screener.in/search/?q=Rubicon+Research+Listed%3A+16+Oct+2025,https://www.ipoguru.in/ipo-performance,strong,2026-07-24T23:42:23
2,KSH International Listed: 23 Dec 2025,,Mainboard,₹370.00,384.0,370.0,888.45,-3.65,131.37,504.45,₹384.00,,Strong Gainer,https://www.screener.in/search/?q=KSH+International+Listed%3A+23+Dec+2025,https://www.ipoguru.in/ipo-performance,strong,2026-07-24T23:42:23
3,Groww Listed: 12 Nov 2025,,Mainboard,₹131.00,100.0,131.0,202.15,31.0,102.15,102.15,₹100.00,,Strong Gainer,https://www.screener.in/search/?q=Groww+Listed%3A+12+Nov+2025,https://www.ipoguru.in/ipo-performance,strong,2026-07-24T23:42:23
4,Corona Remedies Listed: 15 Dec 2025,,Mainboard,"₹1,470.00",1062.0,1470.0,2113.0,38.42,98.96,1051.0,"₹1,062.00",,Good Gainer,https://www.screener.in/search/?q=Corona+Remedies+Listed%3A+15+Dec+2025,https://www.ipoguru.in/ipo-performance,good,2026-07-24T23:42:23
5,Aequs Listed: 09 Dec 2025,,Mainboard,₹140.00,124.0,140.0,229.05,12.9,84.72,105.05,₹124.00,,Good Gainer,https://www.screener.in/search/?q=Aequs+Listed%3A+09+Dec+2025,https://www.ipoguru.in/ipo-performance,good,2026-07-24T23:42:23
6,Park Medi World Listed: 17 Dec 2025,,Mainboard,₹158.80,162.0,158.8,280.25,-1.98,72.99,118.25,₹162.00,,Good Gainer,https://www.screener.in/search/?q=Park+Medi+World+Listed%3A+17+Dec+2025,https://www.ipoguru.in/ipo-performance,good,2026-07-24T23:42:23
7,Vidya Wires Listed: 10 Dec 2025,,Mainboard,₹52.00,52.0,52.0,88.54,0.0,70.27,36.54,₹52.00,,Good Gainer,https://www.screener.in/search/?q=Vidya+Wires+Listed%3A+10+Dec+2025,https://www.ipoguru.in/ipo-performance,good,2026-07-24T23:42:23
8,Fujiyama Power Systems Listed: 20 Nov 2025,,Mainboard,₹220.00,228.0,220.0,383.9,-3.51,68.38,155.9,₹228.00,,Good Gainer,https://www.screener.in/search/?q=Fujiyama+Power+Systems+Listed%3A+20+Nov+2025,https://www.ipoguru.in/ipo-performance,good,2026-07-24T23:42:23
9,Meesho Listed: 10 Dec 2025,,Mainboard,₹111.00,111.0,111.0,185.24,0.0,66.88,74.24,₹111.00,,Good Gainer,https://www.screener.in/search/?q=Meesho+Listed%3A+10+Dec+2025,https://www.ipoguru.in/ipo-performance,good,2026-07-24T23:42:23
10,Emmvee Photovoltaic Power Listed: 18 Nov 2025,,Mainboard,₹217.00,217.0,217.0,331.0,0.0,52.53,114.0,₹217.00,,Good Gainer,https://www.screener.in/search/?q=Emmvee+Photovoltaic+Power+Listed%3A+18+Nov+2025,https://www.ipoguru.in/ipo-performance,good,2026-07-24T23:42:23
11,Jain Resource Recycling Listed: 01 Oct 2025,,Mainboard,₹265.00,232.0,265.0,341.0,14.22,46.98,109.0,₹232.00,,Moderate Gainer,https://www.screener.in/search/?q=Jain+Resource+Recycling+Listed%3A+01+Oct+2025,https://www.ipoguru.in/ipo-performance,watch,2026-07-24T23:42:23
12,Nephrocare Health Services Listed: 17 Dec 2025,,Mainboard,₹490.00,460.0,490.0,673.1,6.52,46.33,213.1,₹460.00,,Moderate Gainer,https://www.screener.in/search/?q=Nephrocare+Health+Services+Listed%3A+17+Dec+2025,https://www.ipoguru.in/ipo-performance,watch,2026-07-24T23:42:23
13,ICICI Prudential AMC Listed: 19 Dec 2025,,Mainboard,"₹2,600.00",2165.0,2600.0,3125.6,20.09,44.37,960.6,"₹2,165.00",,Moderate Gainer,https://www.screener.in/search/?q=ICICI+Prudential+AMC+Listed%3A+19+Dec+2025,https://www.ipoguru.in/ipo-performance,watch,2026-07-24T23:42:23
14,Sudeep Pharma Listed: 28 Nov 2025,,Mainboard,₹730.00,593.0,730.0,826.65,23.1,39.4,233.65,₹593.00,,Moderate Gainer,https://www.screener.in/search/?q=Sudeep+Pharma+Listed%3A+28+Nov+2025,https://www.ipoguru.in/ipo-performance,watch,2026-07-24T23:42:23
15,Canara HSBC Life Insurance Co Listed: 17 Oct 2025,,Mainboard,₹106.00,106.0,106.0,147.35,0.0,39.01,41.35,₹106.00,,Moderate Gainer,https://www.screener.in/search/?q=Canara+HSBC+Life+Insurance+Co+Listed%3A+17+Oct+2025,https://www.ipoguru.in/ipo-performance,watch,2026-07-24T23:42:23
