symbol,exchange,transaction_type,lots,lot_size,price_markup_percent,product,order_type,validity,tag
CAMS26JUN900CE,NFO,SELL,1,400,20,NRML,LIMIT,DAY,GPT_CC
UNITDSPR26JUN1500CE,NFO,SELL,1,350,20,NRML,LIMIT,DAY,GPT_CC
MAZDOCK26JUN2800CE,NFO,SELL,1,300,20,NRML,LIMIT,DAY,GPT_CC
PFC26JUN370PE,NFO,SELL,1,1300,20,NRML,LIMIT,DAY,GPT_CSP
