exchange,tradingsymbol,quantity,transaction_type,product,order_type,price,validity
NFO,MAZDOCK26JUL2750CE,225,SELL,NRML,LIMIT,14.25,DAY
NFO,ETERNAL26JUL330CE,2425,SELL,NRML,LIMIT,1.45,DAY
NFO,PGEL26JUL660CE,950,SELL,NRML,LIMIT,3.7,DAY
NFO,NAUKRI26JUL1060PE,550,SELL,NRML,LIMIT,5.4,DAY
NFO,PGEL26JUL520PE,950,SELL,NRML,LIMIT,3.4,DAY
