exchange,tradingsymbol,quantity,transaction_type,product,order_type,price,validity
NFO,PGEL26JUL530CE,950,SELL,NRML,LIMIT,51.9,DAY
NFO,ETERNAL26JUL272.5CE,242,SELL,NRML,LIMIT,0,DAY
